Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
63,245,63,1988-03-16,CHI,@,WSB,L 103-106,*,39:00,10,23,.435,0,0,,10,23,.435,.435,5,5,1.000,3,1,4,5,0,2,3,2,25,16.4
64,246,64,1988-03-18,CHI,,BOS,W 113-103,*,42:00,19,32,.594,1,2,.500,18,30,.600,.609,11,11,1.000,2,3,5,9,5,1,1,4,50,46.9
65,247,65,1988-03-20,CHI,@,BOS,L 107-137,*,39:00,10,18,.556,0,0,,10,18,.556,.556,6,8,.750,0,4,4,7,1,1,5,4,26,17.8
66,248,66,1988-03-23,CHI,@,PHI,W 118-102,*,42:00,20,35,.571,0,1,.000,20,34,.588,.571,9,12,.750,5,8,13,2,0,2,0,4,49,38.4
67,249,67,1988-03-25,CHI,@,CLE,W 111-110 (OT),*,48:00,14,29,.483,0,0,,14,29,.483,.483,11,13,.846,2,6,8,7,2,4,3,3,39,32.2
68,250,68,1988-03-26,CHI,,IND,W 109-100,*,42:00,16,27,.593,0,2,.000,16,25,.640,.593,6,9,.667,0,3,3,2,3,4,6,2,38,25.6
69,251,69,1988-03-29,CHI,@,SEA,L 103-106,*,42:00,8,17,.471,0,0,,8,17,.471,.471,10,12,.833,1,3,4,4,2,2,6,3,26,17.1
70,252,70,1988-03-30,CHI,@,LAC,W 111-94,*,34:00,15,25,.600,0,0,,15,25,.600,.600,6,6,1.000,2,4,6,4,6,0,2,3,36,32.7
71,253,71,1988-04-01,CHI,@,POR,W 116-101,*,42:00,13,30,.433,1,2,.500,12,28,.429,.450,11,13,.846,4,7,11,7,3,0,3,5,38,29.2
72,254,72,1988-04-03,CHI,@,DET,W 112-110,*,42:00,21,27,.778,0,1,.000,21,26,.808,.778,17,19,.895,2,2,4,6,2,2,1,4,59,54.7
73,255,73,1988-04-05,CHI,,WSB,L 94-105,*,42:00,12,20,.600,0,1,.000,12,19,.632,.600,5,8,.625,1,2,3,1,4,1,6,4,29,17.7
74,256,74,1988-04-06,CHI,@,MIL,W 119-110,*,44:00,12,22,.545,0,0,,12,22,.545,.545,13,13,1.000,1,5,6,6,3,1,5,5,37,29.5
75,257,75,1988-04-08,CHI,,NYK,W 131-122,*,43:00,13,24,.542,0,0,,13,24,.542,.542,14,18,.778,3,3,6,3,8,2,3,4,40,36.7
76,258,76,1988-04-14,CHI,@,IND,W 116-110,*,38:00,12,28,.429,0,2,.000,12,26,.462,.429,11,12,.917,2,4,6,3,3,1,2,3,35,25.0
77,259,77,1988-04-15,CHI,@,NJN,W 100-99,*,39:00,11,20,.550,0,0,,11,20,.550,.550,6,8,.750,0,0,0,4,2,0,3,5,28,17.4
78,260,78,1988-04-17,CHI,,MIL,W 105-97,*,38:00,17,29,.586,0,1,.000,17,28,.607,.586,10,14,.714,1,2,3,6,4,3,2,4,44,36.9
79,261,79,1988-04-19,CHI,@,NYK,W 121-118,*,40:00,18,27,.667,0,2,.000,18,25,.720,.667,11,13,.846,3,2,5,2,2,1,6,4,47,33.7
80,262,80,1988-04-21,CHI,@,BOS,L 119-126,*,41:00,17,33,.515,0,2,.000,17,31,.548,.515,5,6,.833,3,0,3,8,2,1,4,5,39,26.7
81,263,81,1988-04-22,CHI,,CLE,L 103-107,*,42:00,12,26,.462,0,0,,12,26,.462,.462,2,2,1.000,1,0,1,7,4,1,2,5,26,18.9
82,264,82,1988-04-24,CHI,,BOS,W 115-108,*,44:00,16,25,.640,0,1,.000,16,24,.667,.640,14,15,.933,0,6,6,6,1,1,3,3,46,38.0
